"","City","X","long","lat"
"388","Atlantic",27,-94.2710122222222,41.2969888888889
"389","Atlantic Beach",15,-81.0557806666667,30.8060506666667
"390","Atlantic City",123,-74.4537377235772,39.3692456097561
"391","Atlantic Highlands",11,-74.0255636363636,40.4049009090909
"392","Atmore",50,-87.4905468,31.0825878
"393","Atoka",9,-90.4551566666667,35.2802888888889
"394","Attalla",51,-86.0789717647059,34.0445756862745
"395","Attapulgus",10,-84.455113,30.74437
"396","Attica",21,-84.9637047619048,40.8314533333333
"397","Attleboro",233,-71.3240419742489,41.9338442060086
"398","Attleboro Falls",95,-71.2958944210526,41.9699345263158
"399","Atwater",324,-119.315590771605,37.5756623765432
"400","Atwood",10,-97.498461,38.039652
"401","Au Gres",4,-83.6085675,44.0841475
"402","Auberry",16,-119.44579375,37.063994375
"403","Aubrey",11,-96.95015,33.2277590909091
"404","Auburn",2468,-112.209558448136,42.3348250567261
"405","Auburn Hills",444,-83.2591635585586,42.6735731306306
"406","Auburndale",120,-76.9592593333333,34.8866800833333
"407","Auburntown",2,-86.13377,35.938485
"408","Audubon",30,-83.401654,42.5096756666667
"409","Augusta",7476,-81.9123043953986,33.5961579922418
"410","Aulander",4,-77.10148,36.217325
"411","Ault",18,-104.768972222222,40.5859683333333
"412","Aumsville",65,-122.864587692308,44.8546986153846
"413","Aurelia",1,-95.3681,42.74877
"414","Aurora",3560,-106.256233977528,40.636383758427
"415","Austell",415,-84.567098626506,33.7813921686747
"416","Austerlitz",55,-73.4283805454545,42.3528550909091
"417","Austin",58703,-97.7395694025859,30.3283864437933
"418","Austinburg",2,-80.851305,41.78909
"419","Austinville",80,-80.854971375,36.83477125
"420","Autaugaville",6,-86.650045,32.4374116666667
"421","Autryville",3,-78.6236933333333,34.9918933333333
"422","Auxvasse",1,-91.8975,38.97181
"423","Ava",6,-75.470185,43.37267
"424","Avalon",5,-87.090662,42.223036
"425","Avalon-Mulat",9,-87.1385366666667,30.5230988888889
"426","Avella",8,-80.41973375,40.2443075
